Iteration,W_Difference,Objective_Value
1,783.9159547154306,226072.23555890602
2,0.8313188102406565,213260.08032630399
3,0.18677098556844177,211635.94916616278
4,0.08064031409486716,211213.8745152046
5,0.05026419268947449,211042.50471225145
6,0.0366391727944436,210954.89385927154
7,0.028667186044861914,210903.53597779537
8,0.023319690637779594,210870.50047000768
9,0.019459340383713643,210847.72726568612
10,0.01654755718055376,210831.2293200571
11,0.014283697106716911,210818.84411398767
12,0.012482098950228757,210809.2974722797
13,0.011021111821475657,210801.78876446927
14,0.009817282023990907,210795.78642293566
15,0.008811195942851388,210790.92136243448
16,0.007959553915883745,210786.92938495026
17,0.0072302870922942766,210783.61749501846
18,0.006599310977425008,210780.8425355187
19,0.006048298420598194,210778.4968775752
20,0.005563125112195851,210776.4985352593
21,0.005132777564759856,210774.78423997256
22,0.004748578876983692,210773.30455072015
23,0.004403630083292863,210772.02037216668
24,0.004092397343614738,210770.9004456309
25,0.00381039960556891,210769.91951579112
26,0.0035539688894526754,210769.0569736252
27,0.003320066151028035,210768.29584191018
28,0.00310614114802443,210767.62201155943
29,0.002910027186250097,210767.02366344986
30,0.0027298628991251463,210766.49082767795
31,0.002564034273284569,210766.0150443724
32,0.002411131291495992,210765.58909937556
33,0.0022699148204085684,210765.20681523797
34,0.0021392905938433645,210764.86288345302
35,0.0020182881900447764,210764.5527279487
36,0.0019060436872017257,210764.2723927749
37,0.001801785195442232,210764.0184489343
38,0.001704820752963669,210763.78791664125
39,0.0016145282118385277,210763.5782001802
40,0.0015303467949449375,210763.38703314142
41,0.001451770030702252,210763.21243223388
42,0.0013783397960849286,210763.05265821144
43,0.001309641231481003,210762.90618270423
44,0.0012452983327670532,210762.7716599659
45,0.001184970070605149,210762.64790272815
46,0.0011283469283703493,210762.53386150065
47,0.0010751477841883584,210762.42860677736
48,0.0010251170877841947,210762.33131370548
49,0.0009780222996990942,210762.24124885112
50,0.0009336515705377598,210762.15775875983
