alpha,beta,Acc
0.001 ,0.001 ,0.118 
0.003 ,0.001 ,0.118 
0.010 ,0.001 ,0.123 
0.030 ,0.001 ,0.129 
0.100 ,0.001 ,0.155 
0.300 ,0.001 ,0.160 
1.000 ,0.001 ,0.228 
3.000 ,0.001 ,0.353 
10.000 ,0.001 ,0.529 
30.000 ,0.001 ,0.544 
100.000 ,0.001 ,0.562 
300.000 ,0.001 ,0.514 
1000.000 ,0.001 ,0.504 
0.001 ,0.003 ,0.117 
0.003 ,0.003 ,0.119 
0.010 ,0.003 ,0.119 
0.030 ,0.003 ,0.125 
0.100 ,0.003 ,0.139 
0.300 ,0.003 ,0.159 
1.000 ,0.003 ,0.171 
3.000 ,0.003 ,0.258 
10.000 ,0.003 ,0.361 
30.000 ,0.003 ,0.572 
100.000 ,0.003 ,0.548 
300.000 ,0.003 ,0.535 
1000.000 ,0.003 ,0.511 
0.001 ,0.010 ,0.117 
0.003 ,0.010 ,0.117 
0.010 ,0.010 ,0.117 
0.030 ,0.010 ,0.118 
0.100 ,0.010 ,0.121 
0.300 ,0.010 ,0.138 
1.000 ,0.010 ,0.160 
3.000 ,0.010 ,0.180 
10.000 ,0.010 ,0.329 
30.000 ,0.010 ,0.440 
100.000 ,0.010 ,0.521 
300.000 ,0.010 ,0.542 
1000.000 ,0.010 ,0.575 
0.001 ,0.030 ,0.117 
0.003 ,0.030 ,0.117 
0.010 ,0.030 ,0.117 
0.030 ,0.030 ,0.118 
0.100 ,0.030 ,0.121 
0.300 ,0.030 ,0.138 
1.000 ,0.030 ,0.160 
3.000 ,0.030 ,0.180 
10.000 ,0.030 ,0.329 
30.000 ,0.030 ,0.440 
100.000 ,0.030 ,0.521 
300.000 ,0.030 ,0.542 
1000.000 ,0.030 ,0.575 
0.001 ,0.100 ,0.118 
0.003 ,0.100 ,0.118 
0.010 ,0.100 ,0.113 
0.030 ,0.100 ,0.119 
0.100 ,0.100 ,0.120 
0.300 ,0.100 ,0.129 
1.000 ,0.100 ,0.153 
3.000 ,0.100 ,0.157 
10.000 ,0.100 ,0.238 
30.000 ,0.100 ,0.302 
100.000 ,0.100 ,0.507 
300.000 ,0.100 ,0.533 
1000.000 ,0.100 ,0.568 
0.001 ,0.300 ,0.118 
0.003 ,0.300 ,0.118 
0.010 ,0.300 ,0.113 
0.030 ,0.300 ,0.119 
0.100 ,0.300 ,0.120 
0.300 ,0.300 ,0.129 
1.000 ,0.300 ,0.152 
3.000 ,0.300 ,0.161 
10.000 ,0.300 ,0.186 
30.000 ,0.300 ,0.334 
100.000 ,0.300 ,0.450 
300.000 ,0.300 ,0.527 
1000.000 ,0.300 ,0.504 
0.001 ,1.000 ,0.118 
0.003 ,1.000 ,0.113 
0.010 ,1.000 ,0.113 
0.030 ,1.000 ,0.119 
0.100 ,1.000 ,0.120 
0.300 ,1.000 ,0.129 
1.000 ,1.000 ,0.150 
3.000 ,1.000 ,0.161 
10.000 ,1.000 ,0.208 
30.000 ,1.000 ,0.318 
100.000 ,1.000 ,0.571 
300.000 ,1.000 ,0.522 
1000.000 ,1.000 ,0.536 
0.001 ,3.000 ,0.113 
0.003 ,3.000 ,0.113 
0.010 ,3.000 ,0.113 
0.030 ,3.000 ,0.119 
0.100 ,3.000 ,0.120 
0.300 ,3.000 ,0.129 
1.000 ,3.000 ,0.150 
3.000 ,3.000 ,0.161 
10.000 ,3.000 ,0.195 
30.000 ,3.000 ,0.298 
100.000 ,3.000 ,0.513 
300.000 ,3.000 ,0.533 
1000.000 ,3.000 ,0.533 
0.001 ,10.000 ,0.113 
0.003 ,10.000 ,0.113 
0.010 ,10.000 ,0.113 
0.030 ,10.000 ,0.119 
0.100 ,10.000 ,0.120 
0.300 ,10.000 ,0.129 
1.000 ,10.000 ,0.153 
3.000 ,10.000 ,0.161 
10.000 ,10.000 ,0.201 
30.000 ,10.000 ,0.299 
100.000 ,10.000 ,0.356 
300.000 ,10.000 ,0.519 
1000.000 ,10.000 ,0.523 
0.001 ,30.000 ,0.114 
0.003 ,30.000 ,0.114 
0.010 ,30.000 ,0.114 
0.030 ,30.000 ,0.117 
0.100 ,30.000 ,0.118 
0.300 ,30.000 ,0.123 
1.000 ,30.000 ,0.139 
3.000 ,30.000 ,0.163 
10.000 ,30.000 ,0.160 
30.000 ,30.000 ,0.228 
100.000 ,30.000 ,0.332 
300.000 ,30.000 ,0.326 
1000.000 ,30.000 ,0.515 
0.001 ,100.000 ,0.119 
0.003 ,100.000 ,0.119 
0.010 ,100.000 ,0.118 
0.030 ,100.000 ,0.118 
0.100 ,100.000 ,0.118 
0.300 ,100.000 ,0.118 
1.000 ,100.000 ,0.140 
3.000 ,100.000 ,0.149 
10.000 ,100.000 ,0.159 
30.000 ,100.000 ,0.174 
100.000 ,100.000 ,0.229 
300.000 ,100.000 ,0.315 
1000.000 ,100.000 ,0.326 
0.001 ,300.000 ,0.119 
0.003 ,300.000 ,0.119 
0.010 ,300.000 ,0.118 
0.030 ,300.000 ,0.118 
0.100 ,300.000 ,0.119 
0.300 ,300.000 ,0.119 
1.000 ,300.000 ,0.123 
3.000 ,300.000 ,0.139 
