Alpha	Beta	ACC
0.001	0.001	0.118000
0.001	0.003	0.117333
0.001	0.01	0.117333
0.001	0.03	0.117333
0.001	0.1	0.117667
0.001	0.3	0.117667
0.001	1.0	0.117667
0.001	3.0	0.113333
0.001	10.0	0.113333
0.001	30.0	0.114000
0.001	100.0	0.119333
0.001	300.0	0.119333
0.001	1000.0	0.118000
0.003	0.001	0.117667
0.003	0.003	0.118667
0.003	0.01	0.116667
0.003	0.03	0.116667
0.003	0.1	0.117667
0.003	0.3	0.117667
0.003	1.0	0.113333
0.003	3.0	0.113333
0.003	10.0	0.113333
0.003	30.0	0.114000
0.003	100.0	0.119333
0.003	300.0	0.119333
0.003	1000.0	0.118000
0.01	0.001	0.122667
0.01	0.003	0.119000
0.01	0.01	0.116667
0.01	0.03	0.116667
0.01	0.1	0.113333
0.01	0.3	0.113333
0.01	1.0	0.113333
0.01	3.0	0.113333
0.01	10.0	0.113333
0.01	30.0	0.114000
0.01	100.0	0.117667
0.01	300.0	0.117667
0.01	1000.0	0.118000
0.03	0.001	0.129333
0.03	0.003	0.125333
0.03	0.01	0.117667
0.03	0.03	0.118667
0.03	0.1	0.118667
0.03	0.3	0.118667
0.03	1.0	0.118667
0.03	3.0	0.118667
0.03	10.0	0.118667
0.03	30.0	0.116667
0.03	100.0	0.117667
0.03	300.0	0.117667
0.03	1000.0	0.116667
0.1	0.001	0.155000
0.1	0.003	0.138667
0.1	0.01	0.120667
0.1	0.03	0.125333
0.1	0.1	0.120000
0.1	0.3	0.120000
0.1	1.0	0.120000
0.1	3.0	0.120000
0.1	10.0	0.120000
0.1	30.0	0.117667
0.1	100.0	0.117667
0.1	300.0	0.118667
0.1	1000.0	0.116667
0.3	0.001	0.160333
0.3	0.003	0.158667
0.3	0.01	0.138000
0.3	0.03	0.129000
0.3	0.1	0.129000
0.3	0.3	0.129000
0.3	1.0	0.129333
0.3	3.0	0.129333
0.3	10.0	0.129333
0.3	30.0	0.123000
0.3	100.0	0.118000
0.3	300.0	0.119000
0.3	1000.0	0.113667
1.0	0.001	0.228333
1.0	0.003	0.171000
1.0	0.01	0.160000
1.0	0.03	0.160667
1.0	0.1	0.153333
1.0	0.3	0.152000
1.0	1.0	0.150000
1.0	3.0	0.150000
1.0	10.0	0.152667
1.0	30.0	0.139000
1.0	100.0	0.139667
1.0	300.0	0.123333
1.0	1000.0	0.118000
3.0	0.001	0.353000
3.0	0.003	0.258000
3.0	0.01	0.180333
3.0	0.03	0.164000
3.0	0.1	0.157333
3.0	0.3	0.161000
3.0	1.0	0.161000
3.0	3.0	0.161000
3.0	10.0	0.161000
3.0	30.0	0.163000
3.0	100.0	0.148667
3.0	300.0	0.139000
3.0	1000.0	0.128000
10.0	0.001	0.528667
10.0	0.003	0.360667
10.0	0.01	0.329000
10.0	0.03	0.239667
10.0	0.1	0.237667
10.0	0.3	0.185667
10.0	1.0	0.207667
10.0	3.0	0.195333
10.0	10.0	0.201000
10.0	30.0	0.160333
10.0	100.0	0.158667
10.0	300.0	0.150667
10.0	1000.0	0.139000
30.0	0.001	0.544333
30.0	0.003	0.572333
30.0	0.01	0.440333
30.0	0.03	0.347000
30.0	0.1	0.302000
30.0	0.3	0.333667
30.0	1.0	0.318000
30.0	3.0	0.298333
30.0	10.0	0.299000
30.0	30.0	0.228333
30.0	100.0	0.174000
30.0	300.0	0.159333
30.0	1000.0	0.150667
100.0	0.001	0.562333
100.0	0.003	0.548333
100.0	0.01	0.521000
100.0	0.03	0.507333
100.0	0.1	0.507000
100.0	0.3	0.450000
100.0	1.0	0.571000
100.0	3.0	0.513000
100.0	10.0	0.356000
100.0	30.0	0.331667
100.0	100.0	0.229000
100.0	300.0	0.170000
100.0	1000.0	0.160667
300.0	0.001	0.513667
300.0	0.003	0.534667
300.0	0.01	0.541667
300.0	0.03	0.547333
300.0	0.1	0.533333
300.0	0.3	0.526667
300.0	1.0	0.522000
300.0	3.0	0.533000
300.0	10.0	0.519333
300.0	30.0	0.326333
300.0	100.0	0.314667
300.0	300.0	0.229000
300.0	1000.0	0.164667
1000.0	0.001	0.503667
1000.0	0.003	0.510667
1000.0	0.01	0.574667
1000.0	0.03	0.524333
1000.0	0.1	0.568000
1000.0	0.3	0.504333
1000.0	1.0	0.536333
1000.0	3.0	0.532667
1000.0	10.0	0.522667
1000.0	30.0	0.515333
1000.0	100.0	0.326333
1000.0	300.0	0.337333
1000.0	1000.0	0.229000
