Alpha	Beta	NMI
0.001	0.001	0.048689
0.001	0.003	0.050258
0.001	0.01	0.050258
0.001	0.03	0.050258
0.001	0.1	0.049089
0.001	0.3	0.049089
0.001	1.0	0.049089
0.001	3.0	0.041555
0.001	10.0	0.041555
0.001	30.0	0.045065
0.001	100.0	0.051803
0.001	300.0	0.051803
0.001	1000.0	0.050774
0.003	0.001	0.057704
0.003	0.003	0.049146
0.003	0.01	0.047711
0.003	0.03	0.047711
0.003	0.1	0.049089
0.003	0.3	0.049089
0.003	1.0	0.041555
0.003	3.0	0.041555
0.003	10.0	0.041555
0.003	30.0	0.045065
0.003	100.0	0.051803
0.003	300.0	0.051803
0.003	1000.0	0.050774
0.01	0.001	0.060793
0.01	0.003	0.047759
0.01	0.01	0.047711
0.01	0.03	0.047711
0.01	0.1	0.041555
0.01	0.3	0.041555
0.01	1.0	0.041555
0.01	3.0	0.041555
0.01	10.0	0.041555
0.01	30.0	0.045065
0.01	100.0	0.049754
0.01	300.0	0.049754
0.01	1000.0	0.050774
0.03	0.001	0.071838
0.03	0.003	0.062871
0.03	0.01	0.055135
0.03	0.03	0.054958
0.03	0.1	0.054958
0.03	0.3	0.054958
0.03	1.0	0.054958
0.03	3.0	0.054958
0.03	10.0	0.054958
0.03	30.0	0.049477
0.03	100.0	0.049754
0.03	300.0	0.049754
0.03	1000.0	0.046005
0.1	0.001	0.112116
0.1	0.003	0.095029
0.1	0.01	0.062901
0.1	0.03	0.062871
0.1	0.1	0.057316
0.1	0.3	0.057316
0.1	1.0	0.057316
0.1	3.0	0.057316
0.1	10.0	0.057316
0.1	30.0	0.050400
0.1	100.0	0.050635
0.1	300.0	0.048449
0.1	1000.0	0.046005
0.3	0.001	0.108697
0.3	0.003	0.109145
0.3	0.01	0.094271
0.3	0.03	0.070353
0.3	0.1	0.070353
0.3	0.3	0.070353
0.3	1.0	0.073010
0.3	3.0	0.073010
0.3	10.0	0.073010
0.3	30.0	0.060818
0.3	100.0	0.048786
0.3	300.0	0.049827
0.3	1000.0	0.046131
1.0	0.001	0.194058
1.0	0.003	0.108548
1.0	0.01	0.109533
1.0	0.03	0.102793
1.0	0.1	0.116329
1.0	0.3	0.105762
1.0	1.0	0.120567
1.0	3.0	0.120567
1.0	10.0	0.108683
1.0	30.0	0.095000
1.0	100.0	0.094521
1.0	300.0	0.065907
1.0	1000.0	0.048786
3.0	0.001	0.249266
3.0	0.003	0.216350
3.0	0.01	0.120095
3.0	0.03	0.105553
3.0	0.1	0.110082
3.0	0.3	0.108943
3.0	1.0	0.108943
3.0	3.0	0.108943
3.0	10.0	0.108943
3.0	30.0	0.104093
3.0	100.0	0.113646
3.0	300.0	0.096245
3.0	1000.0	0.073609
10.0	0.001	0.473150
10.0	0.003	0.285081
10.0	0.01	0.239443
10.0	0.03	0.211068
10.0	0.1	0.183869
10.0	0.3	0.159390
10.0	1.0	0.168028
10.0	3.0	0.163499
10.0	10.0	0.166919
10.0	30.0	0.111143
10.0	100.0	0.114763
10.0	300.0	0.115179
10.0	1000.0	0.096245
30.0	0.001	0.491972
30.0	0.003	0.450437
30.0	0.01	0.335677
30.0	0.03	0.258019
30.0	0.1	0.232333
30.0	0.3	0.263578
30.0	1.0	0.238252
30.0	3.0	0.214420
30.0	10.0	0.216092
30.0	30.0	0.186413
30.0	100.0	0.120721
30.0	300.0	0.099107
30.0	1000.0	0.115179
100.0	0.001	0.500432
100.0	0.003	0.467613
100.0	0.01	0.449284
100.0	0.03	0.430782
100.0	0.1	0.424774
100.0	0.3	0.379653
100.0	1.0	0.427593
100.0	3.0	0.386772
100.0	10.0	0.277124
100.0	30.0	0.240348
100.0	100.0	0.186214
100.0	300.0	0.125875
100.0	1000.0	0.116683
300.0	0.001	0.449611
300.0	0.003	0.468506
300.0	0.01	0.488296
300.0	0.03	0.463743
300.0	0.1	0.457197
300.0	0.3	0.448889
300.0	1.0	0.450578
300.0	3.0	0.464890
300.0	10.0	0.407201
300.0	30.0	0.260031
300.0	100.0	0.232308
300.0	300.0	0.186214
300.0	1000.0	0.120813
1000.0	0.001	0.464542
1000.0	0.003	0.465399
1000.0	0.01	0.508948
1000.0	0.03	0.460127
1000.0	0.1	0.499771
1000.0	0.3	0.457871
1000.0	1.0	0.460840
1000.0	3.0	0.463969
1000.0	10.0	0.470754
1000.0	30.0	0.436134
1000.0	100.0	0.260031
1000.0	300.0	0.244831
1000.0	1000.0	0.186214
